,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
31,6421.0,10509107,HZ250666,05/03/2016 02:40:00 PM,001XX S PARKSIDE AVE,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",0,0,1513,15,29,25,08B,1138636,1898830,2016,05/10/2016 03:56:50 PM,41.87851302,-87.766424778,"(41.87851302, -87.766424778)"
32,6639.0,10509118,HZ250763,05/03/2016 07:30:00 PM,042XX W KAMERLING AVE,820,THEFT,$500 AND UNDER,STREET,0,0,2534,25,37,23,6,1147775,1908648,2016,05/10/2016 03:56:50 PM,41.90528413,-87.732615525,"(41.90528413, -87.732615525)"
33,7181.0,10509137,HZ250815,05/03/2016 09:45:00 PM,037XX N WILTON AVE,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,0,0,1923,19,44,6,6,1169265,1925099,2016,05/10/2016 03:56:50 PM,41.949986394,-87.65319658,"(41.949986394, -87.65319658)"
34,7704.0,10509139,HZ250777,05/03/2016 10:30:00 PM,010XX W GRANVILLE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,0,0,2433,24,48,77,14,1167960,1941343,2016,05/10/2016 03:56:50 PM,41.994588742,-87.657522554,"(41.994588742, -87.657522554)"
35,7941.0,10509159,HZ250847,05/03/2016 09:00:00 AM,100XX S VERNON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,0,0,511,5,9,49,11,1181016,1838453,2016,05/10/2016 03:56:50 PM,41.711959596,-87.612673629,"(41.711959596, -87.612673629)"
36,7985.0,10509160,HZ250831,05/03/2016 06:30:00 AM,006XX W 41ST ST,820,THEFT,$500 AND UNDER,STREET,0,0,925,9,11,61,6,1172757,1877882,2016,05/10/2016 03:56:50 PM,41.820343226,-87.641759214,"(41.820343226, -87.641759214)"
37,8007.0,10509162,HZ250825,05/03/2016 01:38:00 AM,034XX N ALBANY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0,0,1733,17,33,21,14,1155113,1922566,2016,05/10/2016 03:56:50 PM,41.943332055,-87.705286066,"(41.943332055, -87.705286066)"
38,8073.0,10509183,HZ250769,05/03/2016 09:00:00 PM,068XX S OGLESBY AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),0,0,331,3,5,43,6,1192946,1860098,2016,05/10/2016 03:56:50 PM,41.771073064,-87.568278663,"(41.771073064, -87.568278663)"
39,8857.0,10509210,HZ250655,05/03/2016 09:30:00 PM,068XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0,1,725,7,17,67,08B,1166850,1859459,2016,05/10/2016 03:56:50 PM,41.769916749,-87.663954978,"(41.769916749, -87.663954978)"
40,9008.0,10509213,HZ250838,05/03/2016 07:00:00 PM,133XX S LANGLEY AVE,820,THEFT,$500 AND UNDER,CHA PARKING LOT/GROUNDS,0,0,533,5,9,54,6,1183339,1817078,2016,05/10/2016 03:56:50 PM,41.653249978,-87.604828177,"(41.653249978, -87.604828177)"
41,9097.0,10509223,HZ250646,05/03/2016 07:00:00 PM,059XX S MOZART ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,824,8,16,66,7,1158392,1865224,2016,05/10/2016 03:56:50 PM,41.785913194,-87.694801653,"(41.785913194, -87.694801653)"
42,9250.0,10509235,HZ250869,05/03/2016 07:00:00 PM,070XX W ARCHER AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,MEDICAL/DENTAL OFFICE,0,0,811,8,23,56,14,1130469,1867268,2016,05/10/2016 03:56:50 PM,41.792045748,-87.797136278,"(41.792045748, -87.797136278)"
43,9337.0,10509250,HZ250807,05/03/2016 11:00:00 AM,011XX W 95TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,0,0,2213,22,21,73,26,1170219,1841786,2016,05/10/2016 03:56:50 PM,41.721347022,-87.652118525,"(41.721347022, -87.652118525)"
44,9468.0,10509262,HZ250900,05/03/2016 07:00:00 PM,037XX W ADDISON ST,820,THEFT,$500 AND UNDER,STREET,0,0,1732,17,30,21,6,1150905,1923676,2016,05/10/2016 03:56:50 PM,41.946461543,-87.72072354,"(41.946461543, -87.72072354)"
45,9513.0,10509271,HZ250882,05/03/2016 05:30:00 PM,0000X S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,0,0,112,1,42,32,14,1176814,1900257,2016,05/10/2016 03:56:50 PM,41.881651236,-87.626200491,"(41.881651236, -87.626200491)"
46,10186.0,10509277,HZ250919,05/03/2016 10:00:00 PM,087XX S BURLEY AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,CHA PARKING LOT/GROUNDS,0,0,424,4,7,46,15,1199184,1847728,2016,05/10/2016 03:56:50 PM,41.736974418,-87.545827999,"(41.736974418, -87.545827999)"
47,10208.0,10509285,HZ250694,05/03/2016 09:00:00 PM,029XX N MOBILE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,2511,25,29,19,7,1133897,1918956,2016,05/10/2016 03:56:50 PM,41.933825894,-87.78335189,"(41.933825894, -87.78335189)"
48,10252.0,10509311,HZ250961,05/03/2016 09:00:00 PM,029XX S WALLACE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,0,1,914,9,11,60,26,1172771,1885463,2016,05/10/2016 03:56:50 PM,41.841145857,-87.641483881,"(41.841145857, -87.641483881)"
49,10295.0,10509328,HZ250653,05/03/2016 09:30:00 AM,071XX S EAST END AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,324,3,8,43,7,1188770,1857957,2016,05/10/2016 03:56:50 PM,41.765298896,-87.583654511,"(41.765298896, -87.583654511)"
50,10361.0,10509336,HZ250909,05/03/2016 08:30:00 PM,066XX W RAVEN ST,820,THEFT,$500 AND UNDER,STREET,0,0,1611,16,41,10,6,1130812,1940757,2016,05/10/2016 03:56:50 PM,41.993703853,-87.794185238,"(41.993703853, -87.794185238)"
51,10405.0,10509343,HZ250911,05/03/2016 03:30:00 PM,0000X W CHESTNUT ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,0,0,1832,18,42,8,11,1175628,1906198,2016,05/10/2016 03:56:50 PM,41.897980396,-87.630376682,"(41.897980396, -87.630376682)"
52,10794.0,10509351,HZ250971,05/03/2016 10:10:00 PM,064XX S PEORIA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,723,7,16,68,08B,1171414,1862128,2016,05/10/2016 03:56:50 PM,41.777142114,-87.647147267,"(41.777142114, -87.647147267)"
53,10838.0,10509362,HZ250948,05/03/2016 01:00:00 PM,004XX N STATE ST,810,THEFT,OVER $500,STREET,0,0,1834,18,42,8,6,1176302,1903096,2016,05/10/2016 03:56:50 PM,41.889453169,-87.627994833,"(41.889453169, -87.627994833)"
54,10992.0,10509363,HZ250630,05/03/2016 10:30:00 PM,009XX W DICKENS AVE,810,THEFT,OVER $500,RESIDENCE-GARAGE,0,0,1812,18,43,7,6,1169773,1914157,2016,05/10/2016 03:56:50 PM,41.919949978,-87.651649056,"(41.919949978, -87.651649056)"
55,11600.0,10509413,HZ251000,05/04/2016 11:25:00 AM,031XX S ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),0,0,912,9,11,59,14,1166183,1883676,2016,05/11/2016 03:50:55 PM,41.836385231,-87.66571041,"(41.836385231, -87.66571041)"
56,11666.0,10509422,HZ250945,05/04/2016 11:15:00 AM,083XX S STEWART AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,1,0,622,6,21,44,6,1175078,1849610,2016,05/11/2016 03:50:55 PM,41.742710224,-87.634088181,"(41.742710224, -87.634088181)"
57,12232.0,10509410,HZ251003,05/03/2016 09:00:00 AM,018XX N MASON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,0,0,2531,25,29,25,11,1136460,1911565,2016,05/10/2016 03:56:50 PM,41.913498644,-87.774109939,"(41.913498644, -87.774109939)"
58,12754.0,10509462,HZ250775,05/03/2016 08:30:00 PM,032XX W POTOMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,1422,14,26,23,14,1154577,1908468,2016,05/10/2016 03:56:50 PM,41.904656764,-87.707634248,"(41.904656764, -87.707634248)"
59,13189.0,10509476,HZ251030,05/03/2016 11:00:00 PM,021XX N LEAVITT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,1432,14,32,22,14,1161347,1914241,2016,05/10/2016 03:56:50 PM,41.920360101,-87.682605169,"(41.920360101, -87.682605169)"
60,13211.0,10509481,HZ250766,05/03/2016 07:30:00 PM,043XX S KEDZIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,0,0,922,9,14,58,14,1155737,1875838,2016,05/10/2016 03:56:50 PM,41.815093173,-87.704251437,"(41.815093173, -87.704251437)"
61,13668.0,10509482,HZ251008,05/03/2016 01:30:00 PM,038XX W WILCOX ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,0,0,1122,11,28,26,26,1150799,1899061,2016,05/10/2016 03:56:50 PM,41.878917763,-87.721758314,"(41.878917763, -87.721758314)"
62,13691.0,10509486,HZ250872,05/03/2016 07:30:00 PM,011XX S STATE ST,810,THEFT,OVER $500,CTA TRAIN,0,0,123,1,2,32,6,1176517,1895340,2016,05/10/2016 03:56:50 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
63,14017.0,10509488,HZ251048,05/03/2016 09:11:00 AM,0000X E RANDOLPH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,0,0,111,1,42,32,11,1176904,1901295,2016,05/10/2016 03:56:50 PM,41.884497529,-87.625838595,"(41.884497529, -87.625838595)"
64,14104.0,10509525,HZ251077,05/03/2016 06:30:00 AM,006XX W WASHINGTON BLVD,810,THEFT,OVER $500,STREET,0,0,121,1,27,28,6,1171824,1900768,2016,05/10/2016 03:56:50 PM,41.883164818,-87.644508395,"(41.883164818, -87.644508395)"
65,14189.0,10509526,HZ250665,05/03/2016 06:30:00 PM,060XX N NAVARRE AVE,820,THEFT,$500 AND UNDER,STREET,0,0,1611,16,41,10,6,1131033,1939617,2016,05/10/2016 03:56:50 PM,41.99057177,-87.793398734,"(41.99057177, -87.793398734)"
66,14451.0,10509558,HZ251052,05/03/2016 05:40:00 PM,001XX E 104TH PL,560,ASSAULT,SIMPLE,SIDEWALK,0,0,512,5,9,49,08A,1179094,1835637,2016,05/10/2016 03:56:50 PM,41.704276039,-87.619797922,"(41.704276039, -87.619797922)"
67,15080.0,10509579,HZ251110,05/03/2016 10:00:00 AM,079XX S BLACKSTONE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0,0,411,4,8,45,14,1187546,1852538,2016,05/10/2016 03:56:50 PM,41.750457849,-87.588312792,"(41.750457849, -87.588312792)"
68,15102.0,10509582,HZ251083,05/03/2016 01:00:00 PM,030XX S KEDZIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,SMALL RETAIL STORE,0,0,1032,10,12,30,11,1155512,1884264,2016,05/10/2016 03:56:50 PM,41.838219696,-87.704850674,"(41.838219696, -87.704850674)"
69,15550.0,10509606,HZ251117,05/03/2016 08:30:00 PM,054XX W HIGGINS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,0,0,1623,16,45,11,7,1139224,1931886,2016,05/10/2016 03:56:50 PM,41.969211609,-87.763459102,"(41.969211609, -87.763459102)"
70,15681.0,10509660,HZ251032,05/03/2016 04:07:00 PM,052XX S STATE ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,"SCHOOL, PUBLIC, BUILDING",0,0,225,2,3,40,26,1177170,1870046,2016,05/10/2016 03:56:50 PM,41.798741929,-87.62580711,"(41.798741929, -87.62580711)"
71,16028.0,10509694,HZ251105,05/03/2016 02:00:00 PM,080XX S PAULINA ST,820,THEFT,$500 AND UNDER,STREET,0,0,611,6,21,71,6,1166410,1851364,2016,05/10/2016 03:56:50 PM,41.747712344,-87.665798083,"(41.747712344, -87.665798083)"
72,16464.0,10509700,HZ249871,05/03/2016 03:05:00 PM,093XX S WENTWORTH AVE,460,BATTERY,SIMPLE,SIDEWALK,0,0,634,6,21,49,08B,1176590,1843118,2016,05/10/2016 03:56:50 PM,41.724861497,-87.628742936,"(41.724861497, -87.628742936)"
73,16616.0,10509702,HZ251095,05/03/2016 09:00:00 AM,075XX S LANGLEY AVE,810,THEFT,OVER $500,APARTMENT,0,0,624,6,6,69,6,1182201,1855156,2016,05/10/2016 03:56:50 PM,41.757767253,-87.607818223,"(41.757767253, -87.607818223)"
74,17051.0,10509709,HZ251194,05/03/2016 12:30:00 AM,020XX S WESTERN AVE,820,THEFT,$500 AND UNDER,CTA TRAIN,0,0,1023,10,25,31,6,1160686,1890209,2016,05/10/2016 03:56:50 PM,41.854427952,-87.685700213,"(41.854427952, -87.685700213)"
75,17094.0,10509724,HZ251141,05/03/2016 09:35:00 PM,050XX N PAULINA ST,560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,0,0,2032,20,47,3,08A,1164323,1933390,2016,05/10/2016 03:56:50 PM,41.972843435,-87.671127232,"(41.972843435, -87.671127232)"
76,17181.0,10509764,HZ249689,05/03/2016 12:15:00 PM,061XX S MORGAN ST,820,THEFT,$500 AND UNDER,APARTMENT,0,0,712,7,16,68,6,1170696,1864158,2016,05/10/2016 03:56:50 PM,41.782728365,-87.649720276,"(41.782728365, -87.649720276)"
77,17423.0,10509769,HZ251010,05/03/2016 08:30:00 PM,014XX N AVERS AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,0,0,2535,25,30,23,3,1150444,1909392,2016,05/10/2016 03:56:50 PM,41.907274031,-87.722791892,"(41.907274031, -87.722791892)"
78,17619.0,10509770,HZ250329,05/03/2016 09:00:00 AM,048XX W EDDY ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,1634,16,38,15,08B,1143575,1923186,2016,05/10/2016 03:56:50 PM,41.945257538,-87.74767892,"(41.945257538, -87.74767892)"
79,17706.0,10509783,HZ251242,05/03/2016 12:15:00 PM,013XX E 72ND ST,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",0,0,324,3,5,43,08B,1186321,1857530,2016,05/10/2016 03:56:50 PM,41.764185391,-87.592644199,"(41.764185391, -87.592644199)"
80,17816.0,10509784,HZ251276,05/03/2016 08:00:00 PM,062XX N NEWCASTLE AVE,810,THEFT,OVER $500,STREET,0,0,1611,16,41,10,6,1130189,1940933,2016,05/10/2016 03:56:50 PM,41.994197554,-87.796472871,"(41.994197554, -87.796472871)"
81,17988.0,10509800,HZ251202,05/03/2016 10:00:00 PM,065XX N WHIPPLE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,2412,24,50,2,7,1154820,1943117,2016,05/10/2016 03:56:50 PM,41.99973106,-87.705809711,"(41.99973106, -87.705809711)"
82,18272.0,10509460,HZ250952,05/04/2016 11:30:00 AM,071XX S JEFFERY BLVD,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,1,0,333,3,5,43,26,1190777,1858141,2016,05/11/2016 03:50:55 PM,41.765755571,-87.576292427,"(41.765755571, -87.576292427)"
83,18337.0,10509801,HZ251260,05/03/2016 07:15:00 PM,016XX W OLIVE AVE,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENTIAL YARD (FRONT/BACK),0,0,2012,20,40,77,26,1164322,1937557,2016,05/10/2016 03:56:50 PM,41.984277849,-87.671012432,"(41.984277849, -87.671012432)"
84,18596.0,10509473,HZ250866,05/04/2016 09:00:00 AM,010XX N RUSH ST,810,THEFT,OVER $500,STREET,0,0,1824,18,42,8,6,1176265,1907589,2016,05/11/2016 03:50:55 PM,41.90178302,-87.627995064,"(41.90178302, -87.627995064)"
85,18748.0,10509840,HZ251384,05/03/2016 04:00:00 PM,028XX S CENTRAL PARK AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,0,0,1032,10,22,30,5,1152831,1884874,2016,05/10/2016 03:56:50 PM,41.839947022,-87.714672499,"(41.839947022, -87.714672499)"
86,18814.0,10509474,HZ250988,05/04/2016 08:16:00 AM,032XX W 59TH ST,580,STALKING,SIMPLE,STREET,0,0,822,8,14,63,08A,1155977,1865327,2016,05/11/2016 03:50:55 PM,41.786244716,-87.703653521,"(41.786244716, -87.703653521)"
87,18924.0,10509843,HZ251265,05/03/2016 09:00:00 AM,039XX S LAKE PARK AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,214,2,4,36,08B,1183292,1879180,2016,05/10/2016 03:56:50 PM,41.823665846,-87.603072021,"(41.823665846, -87.603072021)"
88,19141.0,10509477,HZ250966,05/04/2016 05:00:00 AM,007XX N CHRISTIANA AVE,810,THEFT,OVER $500,APARTMENT,0,0,1121,11,27,23,6,1153911,1904714,2016,05/11/2016 03:50:55 PM,41.89436874,-87.710180832,"(41.89436874, -87.710180832)"
89,19184.0,10509846,HZ251231,05/03/2016 06:00:00 PM,111XX S BELL AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,0,0,2212,22,19,75,11,1163372,1830887,2016,05/10/2016 03:56:50 PM,41.691584267,-87.677501885,"(41.691584267, -87.677501885)"
90,19294.0,10509478,HZ250992,05/04/2016 11:58:00 AM,007XX N HAMLIN AVE,560,ASSAULT,SIMPLE,APARTMENT,1,1,1112,11,27,23,08A,1150924,1904654,2016,05/11/2016 03:50:55 PM,41.894263101,-87.721152828,"(41.894263101, -87.721152828)"
91,19513.0,10509480,HZ251028,05/04/2016 12:35:00 PM,066XX S COTTAGE GROVE AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,0,0,321,3,5,42,6,1182702,1861192,2016,05/11/2016 03:50:55 PM,41.774319025,-87.605795029,"(41.774319025, -87.605795029)"
